id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
20304181,Private 1 Bedroom-AMAZING LOCATION Downtown,53226489,Michael,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90546,-77.031,Entire home/apt,125,2,29,2019-07-06,3.10,1,0
20305207,Where it's AT Lofted in Dupont Stairway to Heaven!,8008783,Cliff,,"Dupont Circle, Connecticut Avenue/K Street",38.90741,-77.04097,Entire home/apt,250,2,102,2019-06-27,4.48,54,336
20309492,Cozy Bedroom by Union Station! (Metro/H Street),144876933,Matthew,,"Union Station, Stanton Park, Kingman Park",38.90485,-76.99868,Private room,53,1,78,2019-06-14,3.35,1,0
20317714,Modern Clean Studio near Metro with Free Breakfast,85962942,Brittany,,"Brightwood Park, Crestwood, Petworth",38.94493,-77.02073,Entire home/apt,88,4,57,2019-07-14,2.53,1,96
20320068,BEAUTIFUL 1 br NE DC private entrance free parking,3625067,Merritt,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90865,-76.98607,Entire home/apt,76,30,12,2017-11-18,0.52,1,163
20320085,New 1BR Suite in So. Capital Hill/Navy Yards,18497774,Michael,,"Near Southeast, Navy Yard",38.87474,-77.00568,Entire home/apt,225,10,0,,,1,365
20321277,beautiful brownstone in DC (bloomingdale),6637404,Lala,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91957,-77.01329,Private room,75,1,16,2019-06-29,0.71,1,361
20333961,Downtown Shared Cozy Apartment,35549750,Morgan,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.9102,-77.0021,Shared room,34,2,65,2019-07-05,2.83,20,339
20335682,Historic home. Steps to Capitol  & Metro w/parking,24147514,Marc,,"Capitol Hill, Lincoln Park",38.88533,-77.00763,Entire home/apt,379,2,48,2019-07-07,2.75,1,40
20344650,Capitol Hill apartment close to H Street,37082230,Luke,,"Union Station, Stanton Park, Kingman Park",38.89651,-76.99314,Entire home/apt,88,2,0,,,1,0
20347049,Redeveloped Historic Row House with Backyard,10716582,Jessica,,"Capitol Hill, Lincoln Park",38.88647,-76.99033,Entire home/apt,135,2,27,2019-04-22,1.58,1,0
